Unit_Name,Faction_Name,Unit_Abilities,Standard_Abilities,Has_Sustain_Damage,Cost,Combat,Combat_Value,Shots,Move,Capacity,Unit_Type
Advanced Carrier,The Federation of Sol,,,False,3,9,9,1,1^,6^,Carrier
Advanced Carrier II,The Federation of Sol,,,True,3,9,9,1,2,8,Carrier
Airo Shir Rex,Radiant Aur,"At the end of the edict phase, if this unit is on the game board, draw and resolve 1 edict.",Anti-Fighter Barrage 5 (x3),True,8,7 (x2),7,2,1,6,Flagship
Arc Secundus,The Barony of Letnev,"Other players' units in this system lose PLANETARY SHIELD & At the start of each space combat round, repair this ship",Bombardment 5 (x3),True,8,5 (x2),5,2,1,3,Flagship
Artemiris,The Council Keleres,Other players must spend 2 influence to activate the system that contains this ship.,,True,8,7 (x2),7,2,1,6,Flagship
Arvicon Rex,The Mahact Gene Sorcerers,"During combat against an opponent whose command token is not in your fleet pool, apply +2 to the results of this unit's combat rolls",,True,8,5 (x2),5,2,1,3,Flagship
C'Morran N'orr,Sardakk N'orr,Apply +1 to the result of each of your other ship's combat rolls in this system.,,True,8,6 (x2),6,2,1,3,Flagship
Carrier,Common Unit,,,False,3,9,9,1,1^,4^,Carrier
Carrier II,Common Unit,,,False,3,9,9,1,2,6,Carrier
Cruiser,Common Unit,,,False,2,7^,7,1,2^,-^,Cruiser
Cruiser II,Common Unit,,,False,2,6,6,1,3,1,Cruiser
D.W.S Luminous,The Deepwrought Scholarate,"This ship can move through systems that contain your units, even if other players units are present: if it would, apply +1 to its move value for each of those systems.",,True,8,7 (x2),7,2,1,6,Flagship
Destroyer,Common Unit,,Anti-Fighter Barrage 9 (x2),False,1,9^,9,1,2,0,Destroyer
Destroyer II,Common Unit,,Anti-Fighter Barrage 6 (x3),False,1,8,8,1,2,0,Destroyer
Dreadnought,Common Unit,,Bombardment 5,True,4,5,5,1,1^,1,Dreadnought
Dreadnought II,Common Unit,"""Direct Hit"" cards are no longer effective against this type of ship.",Bombardment 5,True,4,5,5,1,2,1,Dreadnought
Duha Menaimon,The Arborec,"After you activate this system, you may produce up to 5 units in this system.",,True,8,7 (x2),7,2,1,5,Flagship
Dynamo,The Empyrean,"After any player's unit in this system or an adjacent system uses SUSTAIN DAMAGE, you may spend 2 influence to repair that unit.",,True,8,5 (x2),5,2,1,3,Flagship
Enigma,Il Na Viroset,This unit ignores the effects of all anomalies. Its MOVE value is reduce by 1 for each unit it would transport.,,True,7,7,7,1,7,7,Flagship
Exile I,The Crimson Rebellion,"At the end of any player's combat in this unit's system or an adjacent system, you may place 1 inactive breach in that system. & ",Anti-Fighter Barrage 9 (x2),False,1,8^,8,1,2,0,Destroyer
Exile II,The Crimson Rebellion,"At the end of any player's combat in this unit's system or up to two systems away, you may place 1 active or inactive breach in that system. & ",Anti-Fighter Barrage 6 (x3),False,1,7,7,1,2,0,Destroyer
Exotrireme,Sardakk N'orr,,Bombardment 4 (x2),True,4,5,5,1,1^,1,Dreadnought
Exotrireme II,Sardakk N'orr,"After a round of space combat, you may destroy this unit to destroy up to 2 ships in this system. & ""Direct Hit"" cards are no longer effective against this type of ship.",Bombardment 4 (x2),True,4,5,5,1,2,1,Dreadnought
Fighter II,Common Unit,This unit may move without being transported. & Fighters in excess of your ships' capacity count against your fleet pool,,False,1 (x2),8,8,1,2,0,Fighter
Fourth Moon,The Mentak Coalition,Other players' ships in this system cannot use SUSTAIN DAMAGE,,True,8,7 (x2),7,2,1,3,Flagship
Genesis,The Federation of Sol,"At the end of the status phase, place 1 infantry from your reinforcements in this system's space area.",,True,8,5 (x2),5,2,1,12,Flagship
Heaven's Eye,The Firmament,"If the Active System contains units that belong to a player who has a Control Token on one of your Plots, apply +1 to this ship's move value and repair it at the end of every Combat Round.",,True,8,5 (x2),5,2,1,3,Flagship
Heaven's Hollow,The Obsidian,,,True,8,5 (x3),5,3,1,3,Flagship
Hil Colish,The Ghosts of Creuss,"This ship's system contains a delta wormhole & During movement, this ship may move before or after your other ships",,True,8,5,5,1,1,3,Flagship
Hybrid Crystal Fighter,The Naalu Collective,,,False,1 (x2),8^,8,1,-^,0,Fighter
Hybrid Crystal Fighter II,The Naalu Collective,This unit may move without being transported.Â  Each fighter in excess of your ships' capacity counts as 1/2 of a ship against your fleet pool,,False,1 (x2),7,7,1,2,0,Fighter
J.N.S. Hylarim,The Universities of Jol-Nar,"When making a combat roll for this ship, each result of a 9 or 10, before applying modifiers, produces 2 additional hits.",,True,8,6 (x2),6,2,1,3,Flagship
Last Dispatch,The Ral Nel Consortium,"When this unit retreats, you may destroy 1 ship in the active system that does not have SUSTAIN DAMAGE.",,True,8,8 (x2),8,2,2,4,Flagship
Linkship I,The Ral Nel Consortium,This unit can use the SPACE CANNON ability of one of your structures in its space area; each structure can only be triggered once. & ,Anti-Fighter Barrage 9 (x2),False,1,9^,9,1,3^,0,Destroyer
Linkship II,The Ral Nel Consortium,This unit can use the SPACE CANNON ability of one of your structures in its space area; each linkship can trigger the same structure. & ,Anti-Fighter Barrage 6 (x3),False,1,8,8,1,4,0,Destroyer
Loncarra Ssodu,The Xxcha Kingdom,You may use this unit's SPACE CANNON against ships that are in adjacent systems.,Space Cannon 5 (x3),True,8,7 (x2),7,2,1,3,Flagship
Matriarch,The Naalu Collective,"During an invasion in this system, you may commit fighters to planets as if they were ground forces. When combat ends, return those units to the space area.",,True,8,9 (x2),9,2,1,6,Flagship
Memoria,The Nomad,You may treat this unit as if it were adjacent to systems that contain one or more of your mechs,Anti-Fighter Barrage 8 (x3),True,8,7 (x2)^,7,2,1^,3^,Flagship
Memoria II,The Nomad,You may treat this unit as if it were adjacent to systems that contain one or more of your mechs,Anti-Fighter Barrage 5 (x3),True,8,5 (x2),5,2,2,6,Flagship
Nightbloom,"Il Sai Lakoe, Herald of Thorns","When this unit moves, you may resolve the PRODUCTION abilities of your units in the system it started in and each system it moved through.",,True,8,7 (x2),7,2,1,6,Flagship
Ouranos,The Titans of Ul,"DEPLOY: After you activate a system that contains 1 or more of your PDS, you may replace 1 of those PDS with this unit",,True,8,7 (x2),7,2,1,3,Flagship
Prototype War Sun I,The Embers of Muaat,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,12^,3 (x3),3,3,1^,6,War_Sun
Prototype War Sun II,The Embers of Muaat,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,10,3 (x3),3,3,3,6,War_Sun
Quetzecoatl,The Argent Flight,Other players cannot use SPACE CANNON against your ships in this system,,True,8,7 (x2),7,2,1,3,Flagship
Quietus,The Crimson Rebellion,"While this unit is in a system that contains an active breach, other players units in systems with active breaches lose all their unit abilities",,True,8,5 (x2),5,2,1,3,Flagship
Salai Sai Corian,The Winnu,"When this unit makes a combat roll, it rolls a number of dice equal to the number of your opponent's non-fighter ships in this system.",,True,8,7,7,1,1,3,Flagship
Saturn Engine I,The Titans of Ul,,,False,2,7^,7,1,2^,1^,Cruiser
Saturn Engine II,The Titans of Ul,,,True,2,6,6,1,3,2,Cruiser
Scintillia,Avarice Rex,"When you splice, gain 2 commodities or convert up to 2 of your commodities to trade goods.",,True,8,9 (x2),9,2,1,1,Flagship
Son of Ragh,The Clan of Saar,,Anti-Fighter Barrage 6 (x4),True,8,5 (x2),5,2,1,3,Flagship
Strike Wing Alpha I,The Argent Flight,,Anti-Fighter Barrage 9 (x2),False,1,8^,8,1,2,1,Destroyer
Strike Wing Alpha II,The Argent Flight,"When this unit uses ANTI-FIGHTER BARRAGE, each result of 9 or 10 also destroys 1 of your opponents infantry in the space area of the active system & ",Anti-Fighter Barrage 6 (x3),False,1,7,7,1,2,1,Destroyer
Super-Dreadnought,The L1Z1X Mindnet,,Bombardment 5,True,4,5^,5,1,1^,2,Dreadnought
Super-Dreadnought II,The L1Z1X Mindnet,"""Direct Hit"" cards are no longer effective against this type of ship.",Bombardment 4,True,4,4,4,1,2,2,Dreadnought
The Alastor,The Nekro Virus,"At the start of a space combat, choose any number of your ground forces in this system to participate in that combat as if they were ships.",,True,8,9 (x2),9,2,1,3,Flagship
The Egeiro,Last Bastion,Apply +1 to the results of each of this unit's combat rolls for each non-home system that contains a planet you control. & Production 1,,True,8,9,9,1,1,3,Flagship
The Face of Janovet,El Nen Janovet,"This unit gains the unit abilities and text abilities of your destroyer, cruiser, and dreadnought unit upgrade technologies.",,True,8,5 (x2),5,2,1,3,Flagship
The Inferno,The Embers of Muaat,ACTION: Spend 1 token from your strategy pool to place 1 cruiser in this unit's system.,,True,8,5 (x2),5,2,1,3,Flagship
The Scarlet Knife,A Sickening Lurch,"This ship can transport any number of infantry and fighters, and they do not count against this ship's capacity.",Bombardment 7,True,8,7 (x2),7,2,1,1,Flagship
The Scarlet Knife,The Ruby Monarch,"DEPLOY: At the start of your turn, you may discard 1 of your ability or genomes to place this unit from your reinforcements into a system that contains your ships.",,True,8,5 (x2),5,2,2,3,Flagship
The Terror Between,The Vuil'Raith Cabal,"Capture all other non-structure units that are destroyed in this unit's system, including your own",Bombardment 5,True,8,5 (x2),5,2,1,3,Flagship
Tizona,The Saint of Swords,Apply +1 to the MOVE value of this ship if it would transport 4 units.,,True,8,3,3,1,2,4,Flagship
Van Hauge,The Yin Brotherhood,"When this ship is destroyed, destroy all ships in this system.",,True,8,9 (x2),9,2,1,3,Flagship
Visz el Vir,The Naaz-Rokha Alliance,Your mechs in this system roll 1 additional die during combat,,True,8,9 (x2),9,2,1,4,Flagship
War Sun,Common Unit,,,False,-^,-^,-,1,-^,-^,War_Sun
War Sun,Common Unit,,Other players' units in this system lose their Planetary Shield ability & Bombardment 3 (x3),True,12,3 (x3),3,3,2,6,War_Sun
Wrath of Kenara,The Emirates of Hacan,"After you roll a die during space combat in this system, you may spend 1 trade good to apply +1 to the result.",,True,8,7 (x2),7,2,1,3,Flagship
Y'sia Y'ssrila,The Yssaril Tribes,This ship can move through systems that contain other player's ships.,,True,8,5 (x2),5,2,2,3,Flagship
[0.0.1],The L1Z1X Mindnet,"During a space combat, hits produced by this ship and by your dreadnoughts in this system must be assigned to non-fighter ships if able.",,True,8,5 (x2),5,2,1,5,Flagship
